ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/2/2/0/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",13,,Водосодержание кроны,,,кг ⋅ м-2,Operational,PDF
grib2/4/2/2/0/14,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",14,,Масштаб длины участка перемешивания по Блакадару,,,м,Operational,PDF
grib2/4/2/2/0/15,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",15,,Проводимость кроны,,,м ⋅ с-1,Operational,PDF
grib2/4/2/2/0/16,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",16,,Минимальное устичное сопротивление,,,с ⋅ м-1,Operational,PDF
grib2/4/2/2/0/17,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",17,,Точка увядания,,1,Пропорция,Deprecated,PDF
grib2/4/2/2/0/18,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",18,,Параметр Солнца в проводимости кроны,,,Пропорция,Operational,PDF
grib2/4/2/2/0/19,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",19,,Параметр температуры в проводимости кроны,,,Пропорция,Operational,PDF
grib2/4/2/2/0/20,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",20,,Параметр влажности в проводимости кроны,,,Пропорция,Operational,PDF
grib2/4/2/2/0/21,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",21,,Параметр влажности почвы в проводимости кроны,,,Пропорция,Operational,PDF
grib2/4/2/2/0/22,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",22,,Влажность почвы,,8,кг ⋅ м-3,Deprecated,PDF
grib2/4/2/2/0/23,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",23,,"Количество воды, интегрированное по столбу почвы",,8,кг ⋅ м-2,Deprecated,PDF
grib2/4/2/2/0/24,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",24,,Приток тепла,,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/2/0/25,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",25,,Объем влаги в почве,,,м3 ⋅ м-3,Operational,PDF
grib2/4/2/2/0/26,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",26,,Точка увядания,,,кг ⋅ м-3,Operational,PDF
grib2/4/2/2/0/27,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",27,,Объемный показатель точки увядания,,,м3 ⋅ м-3,Operational,PDF
grib2/4/2/2/0/28,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",28,,Индекс листовой поверхности,,,Числ.,Operational,PDF
grib2/4/2/2/0/29,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",29,,Вечнозеленый лес,,,Пропорция,Operational,PDF
grib2/4/2/2/0/30,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",30,,Лиственный лес,,,Пропорция,Operational,PDF
grib2/4/2/2/0/31,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",31,,Стандартизованный индекс различий растительного покрова (НДВИ),,,Числ.,Operational,PDF
grib2/4/2/2/0/32,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",32,,Глубина корневой системы растений,,,м,Operational,PDF
grib2/4/2/2/0/33,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",33,,Сток воды и дренаж,,6,кг ⋅ м-2,Operational,PDF
grib2/4/2/2/0/34,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",34,,Сток поверхностных вод,,6,кг ⋅ м-2,Operational,PDF
grib2/4/2/2/0/35,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",35,,Класс тайла (подстилающей поверхности),,,Кодовая таблица 4.243,Operational,PDF
grib2/4/2/2/0/36,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",36,,Доля тайла (подстилающей поверхности),,,Пропорция,Operational,PDF
grib2/4/2/2/0/37,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",37,,Процент тайла (подстилающей поверхности),,,%,Operational,PDF
grib2/4/2/2/0/38,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",38,,Объемное содержание льда в почве (водный эквивалент),(см. примечание 2),51,м3 ⋅ м-3,Operational,PDF
grib2/4/2/2/0/39,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",39,,Интенсивность эвапотранспирации,,,кг ⋅ м-2 ⋅ с-1,Operational,PDF
grib2/4/2/2/0/40-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",40-191,,Зарезервированы,,,,Operational,PDF
grib2/4/2/2/0/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/2/2/0/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",255,,Отсутствующий,,,,Operational,PDF
