ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_en,Status,translation_source
grib2/4/1/0/18,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,18,,Electrodinámica,,,,Operational,PDF
grib2/4/1/0/19,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,19,,Nuclear/radiología,,,,Operational,PDF
grib2/4/1/0/20,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,20,,Propiedades físicas de la atmósfera,,,,Operational,PDF
grib2/4/1/0/21-189,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,21-189,,Componentes químicos atmosféricos,,,,Operational,PDF
grib2/4/1/0/190,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,190,,Reservadas,,,,Operational,PDF
grib2/4/1/0/191,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,191,,Cadena CCITT IA5,,,,Operational,PDF
grib2/4/1/0/192-254,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,192-254,,Varios,,,,Operational,PDF
grib2/4/1/0/255,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,255,,Reservadas para uso local,,,,Operational,PDF
grib2/4/1/1/0,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,0,,Productos básicos de la hidrología,,,,Operational,PDF
grib2/4/1/1/1,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,1,,Probabilidades de la hidrología,,,,Operational,PDF
grib2/4/1/1/2,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,2,,Aguas interiores y propiedades de los sedimentos,,,,Operational,PDF
grib2/4/1/1/3-191,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,3-191,,Reservadas,,,,Operational,PDF
grib2/4/1/1/192-254,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,192-254,,Reservadas para uso local,,,,Operational,PDF
grib2/4/1/1/255,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,255,,Valor faltante,,,,Operational,PDF
grib2/4/1/2/0,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,0,,Vegetación/biomasa,,,,Operational,PDF
grib2/4/1/2/1,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,1,,Productos especiales para la agricultura y el acuicultivo,,,,Operational,PDF
grib2/4/1/2/2,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,2,,Productos relacionados con el transporte,,,,Operational,PDF
grib2/4/1/2/3,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,3,,Productos relacionados con los suelos,,,,Operational,PDF
grib2/4/1/2/4,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,4,,Productos relativos a condiciones meteorológicas favorables a los incendios,,,,Operational,PDF
grib2/4/1/2/5-191,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,5-191,,Reservadas,,,,Operational,PDF
grib2/4/1/2/192-254,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,192-254,,Reservadas para uso local,,,,Operational,PDF
grib2/4/1/2/255,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,255,,Valor faltante,,,,Operational,PDF
grib2/4/1/3/0,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,0,,Productos de formato de imagen,(véase la nota 1),40,,Operational,PDF
grib2/4/1/3/1,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,1,,Productos cuantitativos,(véase la nota 2),39,,Operational,PDF
grib2/4/1/3/2,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,2,,Propiedades de las nubes,,,,Operational,PDF
grib2/4/1/3/3,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,3,,Condiciones de las reglas de vuelo,,,,Operational,PDF
grib2/4/1/3/4,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,4,,Ceniza volcánica,,,,Operational,PDF
grib2/4/1/3/5,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,5,,Temperatura en la superficie del mar,,,,Operational,PDF
grib2/4/1/3/6,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,6,,Radiación solar,,,,Operational,PDF
grib2/4/1/3/7-191,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,7-191,,Reservadas,,,,Operational,PDF
grib2/4/1/3/192-254,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,192-254,,Reservadas para uso local,,,,Operational,PDF
grib2/4/1/3/255,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,255,,Valor faltante,,,,Operational,PDF
grib2/4/1/10/0,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,0,,Olas,,,,Operational,PDF
grib2/4/1/10/1,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,1,,Corrientes,,,,Operational,PDF
grib2/4/1/10/2,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,2,,Hielo,,,,Operational,PDF
grib2/4/1/10/3,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,3,,Propiedades de la superficie,,,,Operational,PDF
grib2/4/1/10/4,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,4,,Propiedades subsuperficiales,,,,Operational,PDF
grib2/4/1/10/5-190,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,5-190,,Reservadas,,,,Operational,PDF
grib2/4/1/10/191,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,191,,Varios,,,,Operational,PDF
grib2/4/1/10/192-254,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,192-254,,Reservadas para uso local,,,,Operational,PDF
grib2/4/1/10/255,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,255,,Valor faltante,,,,Operational,PDF
