id,Content_ru
GRIB/2/template/7.53/notes/2,"Значение для постоянного инкремента по направлению Di (или Dx) в сопроводительном образце определения сетки
следует установить на все единицы (отсутствующее).
Кодовая таблица 3.15 — Физическое значение вертикальной координаты
Кодовая Значение Единица измерения
цифра"
GRIB/2/template/7.53/notes/1,"Отрицательные значения, связанные с данной координатой будут указывать глубину от поверхности земли. Если все
значения находятся ниже поверхности, то вместо этого рекоменд уется использование значения кодовой цифры 106 с
положительными значениями координаты."
GRIB/2/template/7.53/notes/2,"Система вертикальных координат ЕТА предполагает нормализацию давления в некоторой точке на конкретном
уровне с помощью давления на среднем уровне моря в этой точке.
Кодовая таблица 3.20 — Тип горизонтальной линии
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Данные являются цифровыми без единиц измерения, хотя им может быть придано цифровое значение с помощью
кодовой таблицы, которая определяется вне данного документа. Особое внимание уделяется «картинке», которая
может отобразить некоторые явления, возможно с выделением некоторых характеристик. Как правило, каждая
единица данных не имеет знака, занимает полный октет, некоторые виды продукции в формате изображений могут
иметь элементы данных другого размера. Размер элемента данных указывается в разделе 5."
GRIB/2/template/7.53/notes/2,"Данные приводятся в определенных физических единицах измерения.
Дисциплина продукции 10 — Океанографическая продукция
Категория Описание"
GRIB/2/template/7.53/notes/1,"Принято, что знак потока положительный, если он направлен сверху вниз."
GRIB/2/template/7.53/notes/2,"В случае, если добавляется новый параметр в кодовую таблицу 4.2 и применяются более чем одна категория, выбор
категории должен быть сделан, основываясь на предполагаемом использовании продукта. Дисциплина и категория
являются важной частью любого определения продукции, поэтому возможно использовать то же самое название
параметра в более чем одной категории. Например, «температура воды» в дисциплине 10 (Океано-графическая
продукция), категория 4 (Подповерхностные свойства), используется для сообщения температуры воды в океане
или открытом море, и отличается от «температуры воды» в дисциплине 1 (Гидрологическая продукция), категория 2
(Свойства внутренних вод и наносов), которая используется для сообщения температуры воды в пресноводных
озерах и реках.
Дисциплина продукции 0 — М етеорологическая продукция, категория параметра 0:
температура
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Определение LPI по Линн и др.: Lynn, B. and Y. Yair, 2010: Prediction of lightning flash density with the WRF model
(Прогнозирование плотности вспышки молнии с помощью модели WRF) Adv. Geosci., 23:11–16; Yair, Y., B. Lynn,
C. Price, V. Kotroni, K. Lagouvardos, E. Morin, A. Mugnai and M. Llasat, 2010: Predicting the potential for lightning activity
in Mediterranean storms based on the Weather Research and Forecasting (WRF) model dynamic and microphysical fields
(Прогнозирование потенциальной молниевой активности средиземноморских штормов на основе динамики и
микрофизических полей модели прогнозирования и исследования погоды (WRF)), Journal of Geophysical Research
(Журнал геофизических исследований), 115, D04205, doi:10.1029/2008JD010868."
GRIB/2/template/7.53/notes/2,"Суммарная плотность разрядов молнии представляет собой сумму плотности разрядов молнии к земле и разря-
дов молнии между облаками (см. Lopez, P., 2016: A lightning parameterization for the ECMWF Integrated Forecasting
System (Параметризация молнии для комплексной системы прогнозирования ЕЦСПП), Monthly Weather Review, 144,
3057—3075).
(продолж.)
(Кодовая таблица 4.2 — продолж.)
Дисциплина продукции 0 — М етеорологическая продукция, категория параметра 18:
ядерная/радиологическая
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Статистическая обработка 1 (для расчета аккумуляции) не требует изменения единиц измерения. Рекомендуется
использовать другой параметр, в названии которого отсутствуют слова «интегрированный по времени», и аккумуля-
цию в ООП."
GRIB/2/template/7.53/notes/2,"Коэффициентом перевода между «удельной объемной активностью» (14) и «концентрацией в воздухе» (10) служит
«массовая плотность» [кг⋅м-3]."
GRIB/2/template/7.53/notes/3,"Параметры с 10 и далее могут использоваться в комбинации с образцами определения продукции 4.40–4.43 и общей
кодовой таблицей C-14 (кодовая таблица 4.230) для представления любого типа радиоизотопа.
(продолж.)
(Кодовая таблица 4.2 — продолж.)
Дисциплина продукции 0 — М етеорологическая продукция, категория параметра 19:
физические свойства атмосферы
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Параметр исключен — см. правило 92.6.2 и используйте вместо него другой параметр."
GRIB/2/template/7.53/notes/2,"Переохлажденные крупные капли (SLD) определены как капли, имеющие диаметр более 50 микрон."
GRIB/2/template/7.53/notes/3,"Параметр вихревой диссипации — это кубический корень из скорости вихревой диссипации [м2⋅с–3].
Дисциплина продукции 0 — М етеорологическая продукция, категория параметра 20:
химические составляющие атмосферы
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Первая фиксированная поверхность и вторая фиксированная поверхность в кодовой таблице 4.5 (Типы фиксиро-
ванной поверхности и единицы) для определения вертикальной протяженности, например, первая фиксированная
поверхность может быть установлена на 1 (поверхность земли или воды) и вторая фиксированная поверхность —
установлена на 7 (тропопауза) для ограничения в пределах тропосферы.."
GRIB/2/template/7.53/notes/2,"Термин «численная плотность» используется также для «численной концентрации» (кодовый номер 59); коэффици-
ентом перевода между «численной плотностью» (59) и «удельной численной концентрацией» (60) служит «массовая
плотность» [кг⋅с–3].
Дисциплина продукции 0 — М етеорологическая продукция, категория параметра 190:
последовательность в МККТТ-МА5
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Данные о снежном покрове по результатам дистанционного зондирования выражаются в качестве поля безразмер-
ных значений, описывающих покров. Принятые в настоящее время значения: 50 — ни снега/ни облаков, 100 — для
облаков и 250 — для снега. (См. кодовую таблицу 4.215).
(продолж.)
(Кодовая таблица 4.2 — продолж.)"
GRIB/2/template/7.53/notes/2,"Поле данных, представляющее снежный покров, с помощью описания возвышенных частей рельефа указывает, где
имеется снежный покров. Значения высотных отметок обычно изме няются от 0 до 90 с шагом в 100 м. Значение 253
используется для представления узла с данными «ни снега/ни облаков». Значение 254 используется для представле-
ния узла, в котором покрытые снегом возвышения нельзя оценить из-за облачности, мешающей датчику дистанцион-
ного зондирования (когда используется авиационные или спутниковые измерения)."
GRIB/2/template/7.53/notes/3,"Запас воды в снежном покрове, в процентах от нормы, представлен в обычных процентах. Например, значение 110
указывает, что запас воды в снеге составляет 110 процентов от нормы для данной высоты снежного покрова.
Дисциплина продукции 1 — Г идрологическая продукция, категория параметра 1:
гидрологические вероятности
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Перечисленные для данного параметра единицы измерения, по-видимому, не подходят для эвапотранспирации.
Вместо этого рекомендуется использовать параметр 39 со статистической обработкой 1 (для расчета аккумуляции)
для сообщения данных об эвапотранспирации в кг·м-2."
GRIB/2/template/7.53/notes/2,"Для параметра 38 (категория параметра 0) объем льда выражается как объем измеренной в жидком состоянии воды,
полученной, если растопить лед. Это можно понимать аналогичным образом, что и водный эквивалент снежного
покрова.
Дисциплина продукции 2 — П родукция, связанная с поверхностью суши, категория
параметра 3: продукция, связанная с почвой
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Отношение потока излучения, отраженного поверхностью, к потоку, отраженному в той же геометрии отраженного
луча и диапазоне длин волн идеальной (без потерь) и стандартной рассеивающей свет поверхностью (ламбертов-
ской), облученной при тех же условиях."
GRIB/2/template/7.53/notes/2,"Верхняя точка атмосферного излучения, зафиксированная датчиком, умноженная на pi и поделенная на солнечное
излучение в соответствующей полосе частот.
Дисциплина продукции 3 — К осмическая продукция, категория параметра 2:
свойства облаков
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Теоретическая температура поверхности в точке раздела воздух-море."
GRIB/2/template/7.53/notes/2,"Температура воды на очень малой глубине (приблизительно верхний слой до 20 микрометров)"
GRIB/2/template/7.53/notes/3,"Температура у основания термического поверхностного слоя."
GRIB/2/template/7.53/notes/4,"Температура водного столба, не подверженная изменчивости суточных температур или равная температуре подпо-
верхностного слоя моря в отсутствие какого-либо суточного сигнала.
Дисциплина продукции 3 — К осмическая продукция, категория параметра 6:
солнечная радиация
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Поток солнечного излучения на единицу площади, падающий на горизонтальную поверхность под телесным углом
2π ср."
GRIB/2/template/7.53/notes/2,"Интеграл по времени глобального солнечного излучения."
GRIB/2/template/7.53/notes/3,"Поток солнечного излучения на единицу площади, падающий под телесным углом солнечного диска на поверхность,
перпендикулярную направлению солнца."
GRIB/2/template/7.53/notes/4,"Интеграл по времени прямого солнечного излучения."
GRIB/2/template/7.53/notes/5,"Поток солнечного излучения на единицу площади, падающий под телесным углом 2π ср, за исключением телесного
угла солнечного диска, на горизонтальную поверхность."
GRIB/2/template/7.53/notes/6,"Интеграл по времени рассеянного солнечного излучения.
(продолж.)
(Кодовая таблица 4.2 — продолж.)
Дисциплина продукции 10 — Океанографическая продукция, категория параметра 0:
волнение
Номер Параметр Единицы
измерения"
GRIB/2/template/7.53/notes/1,"Система вертикальных координат Eta предназначена для нормализации давления в некоторой точке на особом
уровне посредством давления среднего уровня моря в этой точке."
GRIB/2/template/7.53/notes/2,"Гибридный уровень высоты (кодовая цифра 118) может быть определен как:
z(k) = A(k) + B(k) × orog
(где k = 1, …, уровни N; orog — орография; z(k) — высота в метрах на уровне k)"
GRIB/2/template/7.53/notes/3,"Гибридный уровень давления, для которого будет используется кодовая цифра 119 вместо 105, может быть опреде-
лен как:
p(k) = A(k) + B(k) × sp
(где k = 1, …, уровни N; sp — приземное давление; p(k) — давление на уровне k)."
GRIB/2/template/7.53/notes/4,"Сигма-уровень высоты является вертикальным модельным уровнем орографической координаты, основанной на
высоте (Gal-Chen and Somerville, 1975). Значение уровня = (высота уровня — высота рельефа местности)/(высота
верхнего уровня — высота рельефа местности), оно составляет ≥0 и ≤1."
GRIB/2/template/7.53/notes/5,"Определение обобщенной системы вертикальных координат указывает на отсутствие значений координаты в
разделе 4, но подразумевает наличие внешнего сообщения 3D-GRIB, которое точно определяет высоту каждого узла
сетки модели в метрах (см. примечания к разделу 4 в разделе выше, озаглавленном «Спецификации содержания
октетов»), т. е. данное сообщение GRIB будет содержать поле данных с указанием: дисциплина = 0, категория = 3,
параметр = 6 (геометрическая высота)."
GRIB/2/template/7.53/notes/6,"Уровень почвы представляет уровень модели, характеризующийся непостоянной глубиной в рамках области модели.
Глубина уровня в метрах указывается посредством другого сообщения GRIB с параметром «глубина почвы»: дисци-
плина 2, категория 3, номер параметра 27."
GRIB/2/template/7.53/notes/7,"Этот уровень определяется разницей свойств воды от приповерхностного слоя до данного уровня. Как правило,
приповерхностный слой выбирают на глубине 10 м. Физической величиной, используемой для расчета разницы,
может быть плотность воды (σ), если используется тип уровня 169, или потенциальная температура воды (θ), если
θ
используется тип уровня 170.
Кодовая таблица 4.6 — Тип ансамблевого прогноза
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Индекс значительной аномалии определяется как {(количество членов, аномалия которых больше 0,5 х SD) — (коли-
чество членов, аномалия которых менее –0,5 х SD)} / (количество членов) в каждом узле сетки, где SD определяется
как наблюдаемое климатологическое станд артное отклонение."
GRIB/2/template/7.53/notes/2,"Следует отметить, что ссылка на «минимум всех ансамблевых членов» и «максимум всех ансамблевых членов» пред-
ставляет набор ансамблевых членов, а не временной интервал, и не должна быть спутана с максимумом и миниму-
мом, описываемыми ООП 4.8.
Кодовая таблица 4.8 — Метод формирования кластеров
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"«Выше нормы», «около нормы» и «ниже нормы» определяются как три равновероятные категории на основе клима-
тологии в каждой точке географического района, охваченного сеткой. Тип и методология справочной климатологии
не уточняются и должны документироваться одновременно поставщиком данных."
GRIB/2/template/7.53/notes/2,"Образцы определения продукции, использующие кодовую таблицу 4.9, могут содержать октеты для хранения значе-
ний нижнего и верхнего пределов. При использовании категорийной вероятности (например, «ниже нормы», «около
нормы» и «выше нормы»), данные октеты должны быть установлены на все единицы (отсутствующее значение).
Кодовая таблица 4.10 — Тип статистической обработки
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Исходное значение данных (Y в примечании 4 правила 92.9.4) приводится в единицах кодовой таблицы 4.2, умножен-
ных на секунды, если не указано иное в кодовой таблице 4.2."
GRIB/2/template/7.53/notes/2,"Исходное значение данных приводится в квадратных единицах кодовой таблицы 4.2."
GRIB/2/template/7.53/notes/3,"Исходное значение данных представляет собой безразмерное число без единиц измерения.
Кодовая таблица 4.11 — Тип временных интервалов
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Этот метод предполагает, что каждое поле действительно представляет собой средние/максимальные/минималь-
ные значения ячеек, причем каждая ячейка наполовину охватывает соседний узел сетки в каждом направлении для
отображения средних/максимальных/минимальных значений исходной сетки без интерполяции."
GRIB/2/template/7.53/notes/2,"Балансовая интерполяция — это метод интерполяции низкого порядка, при котором квази сохраняются сред-
ние значения по рассматриваемому участку. Ее целесообразно применять при интерполяции функций, для кото-
рых существенно сохранение средних по ячейке значений, например осадков. Этот метод предполагает, что поле
действительно представляет собой средние/максимальные/минимальные значения ячеек, причем каждая ячейка
наполовину охватывает соседний узел сетки в каждом направлении. Этот метод, по существу, усредняет билинейно
интерполированные значения в прямоугольных массивах узлов, распределенных в каждой ячейке итоговой сетки."
GRIB/2/template/7.53/notes/3,"Осуществляется балансовая интерполяция в узле сетки, ближайшем к номинальному узлу сетки.
Кодовая таблица 4.16 — Значение качества, связанное с параметром
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Когда из этой таблицы кодов используется значение, не являющееся отсутствующим, то исходное значение данных
представляет собой значение качества, связанное с параметром, определяемым октетами 10 и 11 образца определе-
ния продукции.
(продолж.)
(Кодовая таблица 4.16— продолж.)"
GRIB/2/template/7.53/notes/2,"Исходное значение данных представляет собой безразмерное число от 0 до 1, где 0 указывает на отсутствие уверен-
ности, а 1 указывает на максимальную уверенность."
GRIB/2/template/7.53/notes/3,"Исходное значение данных определяется кодовой таблицей 4.244."
GRIB/2/template/7.53/notes/4,"Исходное значение данных представляет собой безразмерное число без единиц измерения."
GRIB/2/template/7.53/notes/5,"Исходное значение данных приводится в тех же единицах измерения, что и параметр, определяемый октетами 10 и 11
образца определения продукции.
Кодовая таблица 4.91 — Тип интервала
Кодовая Значение
цифра"
GRIB/2/template/7.53/notes/1,"Уровневая модель или дельта-функция с N концентраций c(r) в классе (или моде) l.
l
Функция концентрации-плотности:
где:
N — число мод в распределении
δ — дельта-функция
d — диаметр
D — диаметр моды l (p1)
l
(продолж.)
(Кодовая таблица 4.240 — продолж.)"
GRIB/2/template/7.53/notes/2,"Уровневая модель или дельта-функция с N концентрациями c(r) в классе (или моде) l.
l
Функция концентрации-плотности:
где:
N — количество мод в распределении
δλ — дельта-функция
m — масса
M— масса моды l (p1)
l"
GRIB/2/template/7.53/notes/3,"N-модальная функция концентрации-плотности, состоящая из гауссовых функций:
где:
N — число мод в распределении
d — диаметр
D — средний диаметр моды l (p1)
l
λ σ — дисперсия моды l (p1)
l
с N полями концентрации c(r).
l"
GRIB/2/template/7.53/notes/4,"N-модальная функция концентрации-плотности, состоящая из гауссовых функций:
с 3N полями концентрации c(r), дисперсией σ(r) и средним диаметром D(r).
l l l"
GRIB/2/template/7.53/notes/5,"N-модальное логнормальное распределение для плотности чисел:
где:
d — диаметр
с 3N полями плотности чисел n(r), дисперсией σ(r) и средним диаметром D(r).
l l l"
GRIB/2/template/7.53/notes/6,"N-модальное логнормальное распределение плотности чисел:
где:
σ — дисперсия моды l (p1)
l
с 2N полями плотности чисел n(r) и средним диаметром D(r).
l l"
GRIB/2/template/7.53/notes/7,"N-модальное логнормальное распределение для плотности чисел, как и в примечании 6, но с заданной плотностью
массы m(r), на основе которой рассчитывается диаметр D(r) по формуле:
l l
где:
σ — дисперсия моды l (p1)
l
λp — плотность частиц (p2)
p,l
с 2N полями плотности чисел n(r) и плотностью массы m(r).
l l
Кодовая таблица 4.241 — Атрибуты покрытия
Кодовая Значение
цифра"
