ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/10/2/14,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",14,,Albedo,,,Numeric,Operational,Original
grib2/4/2/10/2/15,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",15,,Sea ice volume per unit area,,,m3 m-2,Operational,Original
grib2/4/2/10/2/16,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",16,,Snow volume over sea ice per unit area,,,m3 m-2,Operational,Original
grib2/4/2/10/2/17,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",17,,Sea ice heat content,,,J m-2,Operational,Original
grib2/4/2/10/2/18,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",18,,Snow over sea ice heat content,,,J m-2,Operational,Original
grib2/4/2/10/2/19,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",19,,Ice freeboard thickness,,,m,Operational,Original
grib2/4/2/10/2/20,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",20,,Ice melt pond fraction,,,fraction,Operational,Original
grib2/4/2/10/2/21,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",21,,Ice melt pond depth,,,m,Operational,Original
grib2/4/2/10/2/22,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",22,,Ice melt pond volume per unit area,,,m3 m-2,Operational,Original
grib2/4/2/10/2/23,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",23,,Sea ice fraction tendency due to parameterization,,,s-1,Operational,Original
grib2/4/2/10/2/24,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",24,,x-component of ice drift,,,m s-1,Operational,Original
grib2/4/2/10/2/25,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",25,,y-component of ice drift,,,m s-1,Operational,Original
grib2/4/2/10/2/26,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",26,,Sea ice salinity,,,g kg-1,operational ,Original
grib2/4/2/10/2/27,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",27,,Freezing/melting potential,,,W m-2,Operational,Original
grib2/4/2/10/2/28,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",28,,Melt onset date,(see Note 2),144,Numeric,Operational,Original
grib2/4/2/10/2/29,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",29,,Freeze onset date,(see Note 3),145,Numeric,Operational,Original
grib2/4/2/10/2/30,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",30,,Sea-ice breakup memory,(see Note 4),181,Numeric,Oprational,Original
grib2/4/2/10/2/31,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",31,,Downward short-wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/10/2/32-191,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",32-191,,Reserved,,,,Operational,Original
grib2/4/2/10/2/192-254,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",192-254,,Reserved for local use,,,,Operational,Original
grib2/4/2/10/2/255,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",255,,Missing,,,,Operational,Original
