ID,Title_es,CodeFlag,MeaningParameterDescription_es,UnitComments_es,SubTitle_es,Value,Note_es,noteIDs,Status,translation_source
grib2/4/0/13,Tabla de cifrado 4.0 — Número del modelo de definición del producto,13,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona rectangular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/14,Tabla de cifrado 4.0 — Número del modelo de definición del producto,14,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/15,Tabla de cifrado 4.0 — Número del modelo de definición del producto,15,"Valores medios, acumulados y/o extremos, u otros valores obtenidos por cálculo estadístico para una superficie o capa horizontal sobre una zona en un momento dado",,,,,,Operational,Original
grib2/4/0/16-19,Tabla de cifrado 4.0 — Número del modelo de definición del producto,16-19,Reservadas,,,,,,Operational,Original
grib2/4/0/20,Tabla de cifrado 4.0 — Número del modelo de definición del producto,20,Producto de radar,,,,,,Operational,Original
grib2/4/0/21-29,Tabla de cifrado 4.0 — Número del modelo de definición del producto,21-29,Reservadas,,,,,,Operational,Original
grib2/4/0/30,Tabla de cifrado 4.0 — Número del modelo de definición del producto,30,Productos de satélite (relegado),,,,,,Deprecated,Original
grib2/4/0/31,Tabla de cifrado 4.0 — Número del modelo de definición del producto,31,Producto de satélite,,,,,,Operational,Original
grib2/4/0/32,Tabla de cifrado 4.0 — Número del modelo de definición del producto,32,Análisis o predicción de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/33,Tabla de cifrado 4.0 — Número del modelo de definición del producto,33,"Predicción de conjunto individual, de control y perturbada, de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/34,Tabla de cifrado 4.0 — Número del modelo de definición del producto,34,"Predicción de conjunto individual, de control y perturbada, de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/35-39,Tabla de cifrado 4.0 — Número del modelo de definición del producto,35-39,Reservadas,,,,,,Operational,Original
grib2/4/0/40,Tabla de cifrado 4.0 — Número del modelo de definición del producto,40,Análisis o predicción para una superficie o capa horizontal y para un momento dado respecto de componentes químicos atmosféricos,,,,,,Operational,Original
grib2/4/0/41,Tabla de cifrado 4.0 — Número del modelo de definición del producto,41,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal y para un momento dado respecto de componentes químicos atmosféricos",,,,,,Operational,Original
grib2/4/0/42,Tabla de cifrado 4.0 — Número del modelo de definición del producto,42,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, para una superficie o capa horizontal y para un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos",,,,,,Operational,Original
grib2/4/0/43,Tabla de cifrado 4.0 — Número del modelo de definición del producto,43,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal y para un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos",,,,,,Operational,Original
grib2/4/0/44,Tabla de cifrado 4.0 — Número del modelo de definición del producto,44,Análisis o predicción para una superficie o capa horizontal en un momento dado respecto de aerosoles,,,,,,Deprecated,Original
grib2/4/0/45,Tabla de cifrado 4.0 — Número del modelo de definición del producto,45,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado respecto de aerosoles",,,,,,Operational,Original
grib2/4/0/46,Tabla de cifrado 4.0 — Número del modelo de definición del producto,46,"Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles",,,,,,Operational,Original
grib2/4/0/47,Tabla de cifrado 4.0 — Número del modelo de definición del producto,47,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles",,,,,,Operational,Original
grib2/4/0/48,Tabla de cifrado 4.0 — Número del modelo de definición del producto,48,Análisis o predicción en un nivel o capa horizontal en un punto cronológico de las propiedades ópticas de un aerosol,,,,,,Operational,Original
grib2/4/0/49,Tabla de cifrado 4.0 — Número del modelo de definición del producto,49,"Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/50,Tabla de cifrado 4.0 — Número del modelo de definición del producto,50,Reservada,,,,,,Operational,Original
grib2/4/0/51,Tabla de cifrado 4.0 — Número del modelo de definición del producto,51,Predicciones categóricas para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/52,Tabla de cifrado 4.0 — Número del modelo de definición del producto,52,Reservada,,,,,,Operational,Original
grib2/4/0/53,Tabla de cifrado 4.0 — Número del modelo de definición del producto,53,Parámetros con particiones para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/54,Tabla de cifrado 4.0 — Número del modelo de definición del producto,54,"Predicción de conjunto individual, de control y perturbada, de parámetros con particiones para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/55,Tabla de cifrado 4.0 — Número del modelo de definición del producto,55,Cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/56,Tabla de cifrado 4.0 — Número del modelo de definición del producto,56,"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado (obsoleto)",,,,,,Deprecated,Original
grib2/4/0/57,Tabla de cifrado 4.0 — Número del modelo de definición del producto,57,Análisis o predicción para una superficie o capa horizontal en un momento dado respecto de componentes químicos atmosféricos,,,,,,Operational,Original
grib2/4/0/58,Tabla de cifrado 4.0 — Número del modelo de definición del producto,58,"Predicción de conjunto individual, de control y perturbada, de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado, basada en una función de distribución",,,,,,Operational,Original
grib2/4/0/59,Tabla de cifrado 4.0 — Número del modelo de definición del producto,59,"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado (versión corregida del Modelo 4.56)",,,,,,Operational,Original
grib2/4/0/60,Tabla de cifrado 4.0 — Número del modelo de definición del producto,60,"Repredicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/61,Tabla de cifrado 4.0 — Número del modelo de definición del producto,61,"Reredicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/62,Tabla de cifrado 4.0 — Número del modelo de definición del producto,62,"Valores promedios, acumulados y/o extremos u otros valores procesados estadísticamente en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo para cambios espaciotemporales en las placas en una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/63,Tabla de cifrado 4.0 — Número del modelo de definición del producto,63,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo para cambios espaciotemporales en las placas",,,,,,Operational,Original
grib2/4/0/64-66,Tabla de cifrado 4.0 — Número del modelo de definición del producto,64-66,Reservadas,,,,,,Operational,Original
grib2/4/0/67,Tabla de cifrado 4.0 — Número del modelo de definición del producto,67,"Valores promedios, acumulados y/o extremos u otros procesados estadísticamente para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos sobre la base de una función de distribución",,,,,,Operational,Original
grib2/4/0/68,Tabla de cifrado 4.0 — Número del modelo de definición del producto,68,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos sobre la base de una función de distribución",,,,,,Operational,Original
grib2/4/0/69,Tabla de cifrado 4.0 — Número del modelo de definición del producto,69,Reservada,,,,,,Operational,Original
grib2/4/0/70,Tabla de cifrado 4.0 — Número del modelo de definición del producto,70,Procesamiento posterior del análisis o predicción para una superficie o una capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/71,Tabla de cifrado 4.0 — Número del modelo de definición del producto,71,"Procesamiento posterior de la predicción de conjunto individual, de control y perturbada, en un nivel o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/72,Tabla de cifrado 4.0 — Número del modelo de definición del producto,72,"Procesamiento posterior de los valores medios, acumulados y/o extremos y de otros valores obtenidos por cálculo estadístico para una superficie o una capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/73,Tabla de cifrado 4.0 — Número del modelo de definición del producto,73,"Procesamiento posterior de la predicción de conjunto individual, de control y perturbada, en un nivel o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/74-75,Tabla de cifrado 4.0 — Número del modelo de definición del producto,74-75,Reservadas,,,,,,Operational,Original
grib2/4/0/76,Tabla de cifrado 4.0 — Número del modelo de definición del producto,76,"Análisis o predicción, en una superficie o capa horizontal en un momento dado, de los componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/77,Tabla de cifrado 4.0 — Número del modelo de definición del producto,77,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal en un momento dado, de componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/78,Tabla de cifrado 4.0 — Número del modelo de definición del producto,78,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal durante un lapso de tiempo continuo o discontinuo, para componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/79,Tabla de cifrado 4.0 — Número del modelo de definición del producto,79,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, de componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/80,Tabla de cifrado 4.0 — Número del modelo de definición del producto,80,"Análisis o predicción, en una superficie o capa horizontal en un momento dado, de las propiedades ópticas de los aerosoles con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/81,Tabla de cifrado 4.0 — Número del modelo de definición del producto,81,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal en un momento dado, de las propiedades ópticas de los aerosoles con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/82,Tabla de cifrado 4.0 — Número del modelo de definición del producto,82,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/83,Tabla de cifrado 4.0 — Número del modelo de definición del producto,83,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, de aerosoles con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/84,Tabla de cifrado 4.0 — Número del modelo de definición del producto,84,"Predicción por conjuntos individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo de aerosoles con fuente o sumidero",,,,,,Operational,Original
grib2/4/0/85,Tabla de cifrado 4.0 — Número del modelo de definición del producto,85,"Predicción por conjuntos individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo de aerosoles",,,,,,Operational,Original
grib2/4/0/86,Tabla de cifrado 4.0 — Número del modelo de definición del producto,86,Predicciones de cuantiles en una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/87,Tabla de cifrado 4.0 — Número del modelo de definición del producto,87,Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational,Original
grib2/4/0/88,Tabla de cifrado 4.0 — Número del modelo de definición del producto,88,Análisis o predicción en una superficie o capa horizontal a una hora local,,,,,,Operational,Original
grib2/4/0/89-90,Tabla de cifrado 4.0 — Número del modelo de definición del producto,89-90,Reservadas,,,,,,Operational,Original
grib2/4/0/91,Tabla de cifrado 4.0 — Número del modelo de definición del producto,91,Predicciones categóricas para una superficie o una capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational,Original
grib2/4/0/92-253,Tabla de cifrado 4.0 — Número del modelo de definición del producto,92-253,Reservadas,,,,,,Operational,Original
grib2/4/0/254,Tabla de cifrado 4.0 — Número del modelo de definición del producto,254,Cadena de caracteres CCITT IA5,,,,,,Operational,Original
grib2/4/0/255-999,Tabla de cifrado 4.0 — Número del modelo de definición del producto,255-999,Reservadas,,,,,,Operational,Original
grib2/4/0/1000,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1000,Sección transversal del análisis y la previsión en un momento dado,,,,,,Experimental,Original
grib2/4/0/1001,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1001,"Sección transversal del análisis o de la previsión promedio, u obtenido por otro cálculo estadístico, durante un intervalo de tiempo",,,,,,Experimental,Original
grib2/4/0/1002,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1002,"Sección transversal del análisis o de la previsión promedio, u obtenido por otro cálculo estadístico, sobre la latitud o la longitud",,,,,,Experimental,Original
grib2/4/0/1003-1099,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1003-1099,Reservadas,,,,,,Operational,Original
grib2/4/0/1100,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1100,Retícula tipo de Hovmöller no promediada o sometida a otro cálculo estadístico,,,,,,Experimental,Original
grib2/4/0/1101,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1101,Retícula tipo de Hovmöller promediada o sometida a otro cálculo estadístico,,,,,,Experimental,Original
grib2/4/0/1102-32767,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1102-32767,Reservadas,,,,,,Operational,Original
grib2/4/0/32768-65534,Tabla de cifrado 4.0 — Número del modelo de definición del producto,32768-65534,Reservadas para uso local,,,,,,Operational,Original
grib2/4/0/65535,Tabla de cifrado 4.0 — Número del modelo de definición del producto,65535,Valor faltante,,,,,,Operational,Original
