Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_en,Status
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,14,,Aerosoles,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,15,,"Gases en trazas (por ejemplo, ozono, CO₂)","Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,16,,Radar,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,17,,Imágenes de radar previstas,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,18,,Electrodinámica,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,19,,Nuclear/radiología,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,20,,Propiedades físicas de la atmósfera,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,21-189,,Componentes químicos atmosféricos,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,190,,Reservadas,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,191,,Cadena CCITT IA5,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,192-254,,Varios,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,255,,Reservadas para uso local,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,0,,Productos básicos de la hidrología,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,1,,Probabilidades de la hidrología,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,2,,Aguas interiores y propiedades de los sedimentos,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,3-191,,Reservadas,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,192-254,,Reservadas para uso local,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 1 — Productos Hidrológicos,255,,Valor faltante,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,0,,Vegetación/biomasa,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,1,,Productos especiales para la agricultura y el acuicultivo,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,2,,Productos relacionados con el transporte,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,3,,Productos relacionados con los suelos,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,4,,Productos relativos a condiciones meteorológicas favorables a los incendios,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,5-191,,Reservadas,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,192-254,,Reservadas para uso local,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 2 — Productos para la superficie terrestre,255,,Valor faltante,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,0,,Productos de formato de imagen (véase la nota 1),"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,1,,Productos cuantitativos (véase la nota 2),"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,2,,Propiedades de las nubes,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operationa
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,3,,Condiciones de las reglas de vuelo,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,4,,Ceniza volcánica,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,5,,Temperatura en la superficie del mar,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,6,,Radiación solar,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,7-191,,Reservadas,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,192-254,,Reservadas para uso local,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 3 — Productos espaciales,255,,Valor faltante,"1) Los datos son numéricos y no expresan unidades, aunque podría asignárseles un significado cuanti- tativo mediante una tabla de cifrado definida externamente a este documento. Lo que interesa es una ""imagen"" visualizable de un fenómeno, posiblemente mejorada en algunos aspectos. Por lo general, cada dato es un entero de uocteto, sin signo, aunque algunos productos de formato de imagen podrían tener un tamaño de dato distinto. El tamaño de un dato se indica en la Sección 5.2) Los datos se expresan en unidades físicas especificadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,0,,Olas,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,1,,Corrientes,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,2,,Hielo,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,3,,Propiedades de la superficie,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,4,,Propiedades subsuperficiales,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,5-190,,Reservadas,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,191,,Varios,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,192-254,,Reservadas para uso local,,,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 10 — Productos oceanográficos,255,,Valor faltante,,,,Operational
