ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,,translation_source
grib2/4/2/0/1/22,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",22,,Relación de mezcla en las nubes,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/23,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",23,,Relación de mezcla hielo-agua,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/24,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",24,,Relación de mezcla de la lluvia,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/25,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",25,,Relación de mezcla de la nieve,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/26,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",26,,Convergencia horizontal de la humedad,,,kg kg-1 s-1,Operational,,Original
grib2/4/2/0/1/27,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",27,,Humedad relativa máxima,(véase la nota 1),,%,Deprecated,,Original
grib2/4/2/0/1/28,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",28,,Humedad absoluta máxima,(véase la nota 1),,kg m-3,Deprecated,,Original
grib2/4/2/0/1/29,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",29,,Total de nieve caída,(véase la nota 3),,m,Deprecated,,Original
grib2/4/2/0/1/30,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",30,,Categoría del agua precipitable,,,Tabla de cifrado 4.202,Operational,,Original
grib2/4/2/0/1/31,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",31,,Granizo,,,m,Operational,,Original
grib2/4/2/0/1/32,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",32,,Graupel (nieve granulada),,,kg kg-1,Operational,,Original
grib2/4/2/0/1/33,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",33,,Lluvia categórica,,,Tabla de cifrado 4.222,Operational,,Original
grib2/4/2/0/1/34,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",34,,Lluvia engelante categórica,,,Tabla de cifrado 4.222,Operational,,Original
grib2/4/2/0/1/35,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",35,,Hielo granulado categórico,,,Tabla de cifrado 4.222,Operational,,Original
grib2/4/2/0/1/36,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",36,,Nieve categórica,,,Tabla de cifrado 4.222,Operational,,Original
grib2/4/2/0/1/37,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",37,,Tasa de precipitación convectiva,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/38,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",38,,Divergencia de humedad horizontal,,,kg kg-11 s-1,Operational,,Original
grib2/4/2/0/1/39,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",39,,Precipitación engelante porcentual,,,%,Operational,,Original
grib2/4/2/0/1/40,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",40,,Evaporación potencial,,,kg m-2,Operational,,Original
grib2/4/2/0/1/41,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",41,,Tasa de evaporación potencial,(véase la nota 4),,W m-2,Operational,,Original
grib2/4/2/0/1/42,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",42,,Cubierta de nieve,,,%,Operational,,Original
grib2/4/2/0/1/43,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",43,,Fracción de lluvia del agua total de nube,,,Proporción,Operational,,Original
grib2/4/2/0/1/44,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",44,,Factor de escarcha,,,Numérica,Operational,,Original
grib2/4/2/0/1/45,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",45,,Lluvia total integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/46,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",46,,Nieve total integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/47,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",47,,Precipitación de agua en gran escala (no convectiva),(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/48,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",48,,Precipitación de agua convective,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/49,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",49,,Precipitación total de agua,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/50,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",50,,Precipitación total de nieve,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/51,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",51,,Total de la columna de agua (Total del agua verticalmente,,,kg m-2,Operational,,Original
grib2/4/2/0/1/52,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",52,,Intensidad de la precipitación total,(véase la nota 2),,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/53,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",53,,Equivalente total en agua de la nieve caída,(véase la nota 2),,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/54,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",54,,Intensidad de la precipitación en gran escala,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/55,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",55,,Equivalente en agua de la nieve convectiva caída,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/56,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",56,,Equivalente en agua de la nieve caída en gran escala,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/57,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",57,,Intensidad total de la nieve caída,,,m s-1,Operational,,Original
grib2/4/2/0/1/58,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",58,,Intensidad de la nieve convectiva caída,,,m sv,Operational,,Original
grib2/4/2/0/1/59,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",59,,Intensidad de la nieve caída en gran escala,,,m s-1,Operational,,Original
grib2/4/2/0/1/60,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",60,,Equivalente en agua del espesor de la nieve,,,kg m-2,Operational,,Original
grib2/4/2/0/1/61,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",61,,Densidad de la nieve,,,kg m-13,Operational,,Original
grib2/4/2/0/1/62,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",62,,Evaporación de la nieve,,,kg m-2,Operational,,Original
grib2/4/2/0/1/63,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",63,,Reservado,,,,Operational,,Original
grib2/4/2/0/1/64,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",64,,Total del vapor de agua integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/65,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",65,,Intensidad de la precipitación de lluvia,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/66,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",66,,Intensidad de la precipitación de nieve,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/67,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",67,,Intensidad de la precipitación de lluvia engelante,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/68,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",68,,Intensidad de la precipitación de hielo granulado,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/69,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",69,,Agua de nube total integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/70,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",70,,Hielo de nube total integrado en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/71,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",71,,Cociente de mezclado de granizo,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/72,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",72,,Granizo total integrado en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/73,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",73,,Tasa de precipitación de granizo,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/74,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",74,,Nieve granulada total integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/75,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",75,,Tasa de precipitación de nieve granulada (gránulos de nieve),,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/76,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",76,,Tasa de lluvia convectiva,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/77,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",77,,Tasa de lluvia en gran escala,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/78,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",78,,Total de agua integrada en columna,,,kg m-2,Operational,,Original
grib2/4/2/0/1/79,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",79,,Tasa de evaporación,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/80,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",80,,Condensado total,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/81,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",81,,"Condensado integrado en columna, total",,,kg m-2,Operational,,Original
grib2/4/2/0/1/82,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",82,,Cociente de mezclado de hielo en nube,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/83,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",83,,Contenido específico de agua líquida de las nubes,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/84,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",84,,Contenido específico de agua nevada de las nubes,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/85,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",85,,Contenido específico de agua de lluvia de las nubes,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/86,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",86,,Contenido específico de agua de nieve de las nubes,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/87,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",87,,Tasa de precipitación estratiforme,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/88,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",88,,Precipitación convectiva categórica,,,(Tabla de cifrado 4.222),Operational,,Original
grib2/4/2/0/1/89,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",89,,Reservado,,,,Operational,,Original
grib2/4/2/0/1/90,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",90,,Flujo de humedad cinemático total,,,kg kg-1 m s-1,Operational,,Original
grib2/4/2/0/1/91,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",91,,"Flujo de humedad cinemático (zonal), componente u",,,kg kg-1 m s-1,Operational,,Original
grib2/4/2/0/1/92,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",92,,"Flujo de humedad cinemático (meridional), componente v",,,kg kg-1 m s-1,Operational,,Original
grib2/4/2/0/1/93,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",93,,Humedad relativa con respecto al agua,,,%,Operational,,Original
grib2/4/2/0/1/94,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",94,,Humedad relativa con respecto al hielo,,,%,Operational,,Original
grib2/4/2/0/1/95,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",95,,Intensidad de la precipitación congelante o engelante,,,kg m-2 s-1,Operational,,Original
grib2/4/2/0/1/96,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",96,,Densidad másica de la precipitación,,,kg m-3,Operational,,Original
grib2/4/2/0/1/97,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",97,,Densidad másica de la nieve,,,kg m-3,Operational,,Original
grib2/4/2/0/1/98,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",98,,Densidad másica de la nieve granulada,,,kg m-3,Operational,,Original
grib2/4/2/0/1/99,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",99,,Densidad másica del granizo,,,kg kg m-3,Operational,,Original
grib2/4/2/0/1/100,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",100,,Concentración numérica específica de la precipitación,,,kg-1,Operational,,Original
grib2/4/2/0/1/101,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",101,,Concentración numérica específica de la nieve,,,kg-1,Operational,,Original
grib2/4/2/0/1/102,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",102,,Concentración numérica específica de la nieve granulada,,,kg-1,Operational,,Original
grib2/4/2/0/1/103,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",103,,Concentración numérica específica del granizo,,,kg-1,Operational,,Original
grib2/4/2/0/1/104,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",104,,Densidad numérica de la precipitación,,,m-3,Operational,,Original
grib2/4/2/0/1/105,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",105,,Densidad numérica de la nieve,,,m-3,Operational,,Original
grib2/4/2/0/1/106,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",106,,Densidad numérica de la nieve granulada,,,m-3,Operational,,Original
grib2/4/2/0/1/107,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",107,,Densidad numérica del granizo,,,m-3,Operational,,Original
grib2/4/2/0/1/121,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",121,,Fracción de cubierta de nieve,,,Proporción,Operational,,Original
grib2/4/2/0/1/122,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",122,,Índice de intensidad de la precipitación,,,(Véase la Tabla de cifrado 4.247),Operational,,Original
