Title_es,CodeFlag,MeaningParameterDescription_es,UnitComments_es,SubTitle_es,Value,Note_es,noteIDs,Status
Tabla de cifrado 4.0 — Número del modelo de definición del producto,74-75,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,76,"Análisis o predicción, en una superficie o capa horizontal en un momento dado, de los componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,77,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal en un momento dado, de componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,78,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal durante un lapso de tiempo continuo o discontinuo, para componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,79,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, de componentes químicos atmosféricos con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,80,"Análisis o predicción, en una superficie o capa horizontal en un momento dado, de las propiedades ópticas de los aerosoles con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,81,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal en un momento dado, de las propiedades ópticas de los aerosoles con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,82,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, en una superficie o capa horizontal durante un lapso de tiempo continuo o discontinuo, para aerosoles con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,83,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo, de aerosoles con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,84,"Predicción por conjuntos individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo de aerosoles con fuente o sumidero",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,85,"Predicción por conjuntos individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo de aerosoles",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,86,Predicciones de cuantiles en una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,87,Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,88,Análisis o predicción en una superficie o capa horizontal a una hora local,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,89-90,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,91,Predicciones categóricas para una superficie o una capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,92-253,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,254,Cadena de caracteres CCITT IA5,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,255-999,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1000,Sección transversal del análisis y la previsión en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1001,"Sección transversal del análisis o de la previsión promedio, u obtenido por otro cálculo estadístico, durante un intervalo de tiempo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1002,"Sección transversal del análisis o de la previsión promedio, u obtenido por otro cálculo estadístico, sobre la latitud o la longitud",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1003-1099,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1100,Retícula tipo de Hovmöller no promediada o sometida a otro cálculo estadístico,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1101,Retícula tipo de Hovmöller promediada o sometida a otro cálculo estadístico,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1102-32767,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,32768-65534,Reservadas para uso local,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,65535,Valor faltante,,,,,,Operational
