noteID,note_es,flag
14,"Para “serie de los satélites de la banda nb”, “números de los satélites de la banda nb” y “tipos de instrumento de la banda nb”, es recomendable cifrar los valores como para las Tablas de cifrado BUFR 0 02 020, 0 01 007 (Tabla de cifrado común C–5) y 0 02 019 (Tabla de cifrado común C–8), respectivamente.",Original
15,"Para los datos representados en una retícula casi regular en la que todas las filas o columnas no tienen necesariamente el mismo número de puntos reticulares, Ni (octetos 31–34) o Nj (octetos 35–38) y Di (octetos 64–67) o Dj (octetos 68–71) correspondientes se cifran, fijando todos los bits en 1 (faltante). El número real de puntos a lo largo de cada paralelo o meridiano se cifrará en los octetos colocados inmediatamente después del modelo de definición de la retícula (octetos [xx+1]–nn), como se indica en la definición de la Sección de definición de la retícula.",Original
16,"Por lo que se refiere a la diferenciación de orden n, los n primeros valores de la tabla no faltantes se cifran en 0 en la tabla empaquetada. Los valores ficticios no se utilizan en el desempaquetado.",Original
17,"En cuanto a los grupos que incluyen un valor constante, el campo asociado se cifra en 0 y no está presente físicamente ningún dato incremental.",Original
18,"Para obtener más detalles, véase la parte B, adjunto I de GRIB.",Original
19,"Para más información, véase la parte B, adjunto III de GRIB.",Original
20,"Para más información, véase la parte B, adjunto IV de GRIB.",Original
21,Los detalles relativos al proceso de empaquetado para la mayoría de los modelos se describen en la Regla 92.9.4.,Original
22,"En el caso de una proyección ortogonal desde el infinito, el valor de Nr debería cifrarse como faltante (todos los bits se fijan en 1).",Original
23,"En el caso de un empaquetado por línea con una tabla binaria, hay tantos valores de grupos como de líneas. En el caso de líneas que incluyan solamente valores faltantes, todos los descriptores asociados deberían cifrarse en 0.",Original
24,"Por razones de simplificación, los datos de imagen deberían empaquetarse especificando un único componente (es decir, una imagen en escala de grises) en lugar de una imagen en color con múltiples componentes.",Original
25,"Para ciertas representaciones espectrales, el coeficiente (0,0) expresa el valor medio del parámetro representado.",Original
26,"Para la lista de cotas de longitud Ni y cotas de latitud Nj, al término de la sección ii = 60 + 4Ni y jj = 60 + 4Ni + 4Nj.",Original
27,"Se puede encontrar información general de referencia sobre las proyecciones utilizadas en los datos satelitales en la sección 4.4 de la publicación ""LRIT/HRIT Global Specification"", de la serie CGMS 03, número 2.6, de 12 de agosto de 1999 (http://www.eumetsat.int/Home/Main/AboutEUMETSAT/InternationalRelations/CGMS/groups/cps/ documents/document/pdf_cgms_03.pdf, página 20 y siguientes).",Original
28,"Las longitudes de la retícula se expresan en unidades de 10–3 m, en la latitud especificada por LaD.",Original
29,"Las longitudes de la retícula se expresan en unidades de 10–3 m, a la latitud especificada por el paralelo estándar.",Original
30,Los descriptores de los grupos indicados supra podrían no figurar si la anchura de campo asociada se cifrara en 0.,Original
31,"Las longitudes de los grupos no tienen significación en el caso de un empaquetado (compresión) por línea, siendo los grupos en ese caso líneas de coordenadas (basta utilizar la Sección de descripción de la retícula y quizás la Sección de topografía  binaria); conviene en ese caso, en aras de la uniformidad, cifrar en 0 la anchura y la referencia del campo asociado.",Original
32,"Las longitudes de los grupos no tienen significación en el caso de un empaquetado por línea; en ese caso conviene, por razones de uniformidad, cifrar en 0 la anchura del campo asociado. Por lo tanto, no es obligatorio que el programa de cifrado incluya una prueba particular para el empaquetado por línea que sea capaz de cifrar y descifrar los descriptores de grupos.",Original
33,Las horas superiores a 65534 se cifrarán en valor 65534.,Original
34,"Si el cuadrado latino 1 = cuadrado latino 2, la proyección es sobre un cono tangente.",Original
35,"En caso necesario, la anchura de los grupos y/o la anchura de los campos de las referencias de grupo pueden ampliarse para evitar ambigüedades entre el, o los, indicadores de valor faltante y los datos verdaderos.",Original
36,"Si el número de modos (N) > 1, entonces entre los campos x N con el mismo número del modo l = 1, …, N define la función de distribución. El símbolo x representa el número de parámetros variables en la función de distribución.",Original
37,"Si el octeto 20 del Modelo de representación de los datos 5.41 especifica que los datos son empaquetados en 1, 2, 4, 8 o 16 bits, la imagen se codificará en escala de grises. Si el octeto 20 especifica 24 bits, la imagen se codificará como imagen en color rojo-verde-azul (RGB) con una profundidad de 8 bits para cada componente de color y, por último, si el octeto 20 vale 32, la imagen se codificará como imagen en color RGB con una muestra alfa utilizando una profundidad de 8 bits para cada uno de los cuatro componentes.",Original
38,"Si se utilizan valores faltantes primarios, todos los bits correspondientes a esos valores en el grupo apropiado se cifran en 1 al nivel de los datos empaquetados.",Original
39,"Si se utilizan valores faltantes secundarios, todos los bits correspondientes a esos valores en el grupo apropiado se cifran en 1, a excepción del último que se cifra en 0, al nivel de los datos empaquetados.",Original
40,"Cuando se indican uno (o varios) valores de reemplazo, éstos se presentan en la misma forma que los valores que entran normalmente en el campo (coma flotante cifrada según IEEE de 32 bits o entero).",Original
41,"En la mayoría de casos, al multiplicar Ni (octetos 31–34) por Nj (octetos 35–38) se obtiene el número total de puntos de la retícula. Sin embargo, eso puede no ser cierto si el bit 8 de los banderines del modo de exploración (octeto 72) se fija en 1.",Original
42,"Se parte del supuesto que el satélite se encuentra en su posición nominal, es decir, mirando directamente el punto en su vertical.",Original
43,No se recomienda utilizar este modelo. En su lugar debería utilizarse MDP 4.48 con el intervalo de longitud de onda óptica fijado en faltante.,Original
44,"Se recomienda no utilizar este modelo. En su lugar, utilícese el modelo 4.84 ya que contiene un octeto adicional para especificar el tipo de proceso de producción.",Original
45,Se recomienda usar incrementos de la dirección sin signo.,Original
46,Se trata del ángulo entre el eje y en el sentido ascendente y el meridiano 180°E cuando el punto de proyección del satélite corresponde con el Polo Norte; o el meridiano 0° cuando el punto de proyección del satélite corresponde con el Polo Sur.,Original
47,JPEG 2000 no debería utilizarse para datos en forma de mapas de bits o datos reticulares de una retícula casi regular.,Original
49,"Ángulo limitado al intervalo de 0 a 90 grados; si el ángulo de orientación de la retícula no fuera ni 0 ni 90 grados, entonces Di = Dj.",Original
50,Ángulo limitado al intervalo de 0 a 90 grados.,Original
51,LoV es el valor de la longitud del meridiano que es paralelo al eje y (o columnas de la retícula) a lo largo del cual el valor de las coordenadas y aumenta con la latitud (la orientación según la longitud podría o no figurar en una retícula dada).,Original
52,El tratamiento de los valores faltantes explícitos constituye una alternativa a la utilización de tablas binarias en la Sección 6 y está destinado a reducir el tamaño total de los mensajes GRIB.,Original
53,"El tratamiento de las anchuras en una referencia y de los incrementos, asociado al de las anchuras en forma de valores ajustados por incremento, permite reducir el tamaño de los descriptores (lo que es importante en materia de ganancia de compresión).",Original
54,Matrices reservadas a la exploración en el sentido +i (de izquierda a derecha) y el sentido –j (de arriba abajo).,Original
55,"Los mapas de bits matriciales estarán presentes sólo si así lo indica el octeto 22. Cuando es el caso, para cada punto de la retícula se precisa una tabla binaria (mapa de bits) con los datos que están definidos en la tabla binaria principal en la Sección 6, de una longitud de (NR x NC) bits: un bit cifrado en 1 indica un elemento de datos en el lugar correspondiente de la matriz. Las tablas binarias se presentarán integralmente sin indicación de cambio de octeto; la última tabla binaria irá seguida, si corresponde, de bits cifrados en 0 para completar todo octeto parcialmente utilizado.",Original
56,Los valores negativos de E o D se representarán con arreglo a la Regla 92.1.5.,Original
57,"El número de octetos asociados a cada valor de la subserie desempaquetada (I) se define en la Tabla de cifrado 5.7, en función del valor real indicado por el octeto 35 del Modelo de representación de los datos 5.51.",Original
58,"El número de placas utilizadas (NUT) es el número de las diferentes placas espaciales utilizadas...",Original
59,Los octetos 69–72 se fijarán todos en 1 (faltante) para señalar una proyección ortogonal (desde el infinito).,Original
60,Solo los parámetros que expresan fracciones o porcentajes se pueden utilizar en este modelo. Las tablas de cifrado indicarán claramente que están destinadas a ser utilizadas en el contexto de los parámetros con particiones.,Original
61,"El mínimo absoluto es negativo en la mayoría de los casos; si fuera positivo, el primer bit se cifra en 0; si fuera negativo, el primer bit se cifra en 1.",Original
62,"PNG no admite todas las profundidades de bits en una imagen, por lo que es necesario definir cuáles de esas profundidades pueden utilizarse y cómo deben tratarse. Para las imágenes en escala de grises, PNG admite profundidades de 1, 2, 4, 8 o 16 bits. Las imágenes en color rojoverde-azul (RGB) pueden tener profundidades de 8 o 16 bits con una muestra alfa opcional. Para el octeto 20 pueden ser válidos los valores:",Original
63,Referencia = hora de referencia (Sección 1) + alcance de la predicción (modelo de definición del producto + desviación y aumentos de la hora de referencia) modelo de generación de datos.,Original
64,"Por lo que respecta a la notación en la nota 1) del Modelo de representación de los datos 5.3, en el primer orden, los valores registrados en los octetos 6–ww son g1 y gmin. En el segundo orden, los valores registrados son h1, h2, y hmin.",Original
65,Se aplica la Regla 92.1.6.,Original
66,"La supresión de la parte real del coeficiente (0,0) de los datos empaquetados permite reducir la variabilidad de los coeficientes, a fin de mejorar la exactitud del empaquetado.",Original
67,"Las longitudes de grupos ajustadas, si se indicaran, se cifran para cada grupo. Con todo, conviene tomar la longitud real del último grupo (no ajustado) indicado en el modelo de representación de los datos.",Original
68,Para obtener información complementaria refiérase al Modelo de los datos 7.2 y sus notas correspondientes.,Original
69,Para obtener información complementaria refiérase al Modelo de los datos 7.3 y sus notas correspondientes.,Original
70,Indicar como faltante si se trata de un análisis.,Original
71,"La Tabla de cifrado 5.2 propone algunas funciones sencillas que pueden aplicarse a estas coordenadas. Cuando la función es más compleja, las coordenadas se indican explícitamente, es decir, que el juego de valores figura realmente en el mensaje en lugar de los coeficientes. Esto se indicará por la cifra de clave 0 de la Tabla de cifrado 5.2, el número de los valores explícitos cifrados es igual a la dimensión apropiada de la matriz para la cual los valores se presentan y esos valores deben aparecer después del octeto 36 en lugar de los coeficientes.",Original
72,"La diferenciación espacial constituye un pretratamiento que interviene antes de la separación en grupos en el momento del cifrado. Sirve para reducir el tamaño de los campos que son suficientemente regulares, cuando está asociada a un programa de separación en grupos descrito por el Modelo de representación de los datos 5.2. En el primer orden, un campo inicial de valores f es sustituido por un nuevo campo de valores g, en el cual g1 = f1), g2 = f2 – f1), …, gn = fn – fn–1. En el segundo orden, el campo de valor g es reemplazado a su vez por un nuevo campo de valores h, en el cual h1 = f1, h2 = f2, h3 = g3 – g2, …, hn = gn – gn–1. Para que los valores continúen siendo positivos, se suprime el mínimo absoluto del campo resultante (es decir, tanto gmin como hmin). Al proceder a la decodificación, después del desempaquetado (descompresión) de las cadenas de bits, se extraen los valores ajustados iniciales añadiendo el mínimo absoluto y efectuando una suma recursiva.",Original
73,La dimensión angular aparente de la Tierra viene dada por 2 x arcsin ((106)/Nr).,Original
74,"El cociente de compresión M:1 (por ejemplo, 20:1) especifica que el tren de datos codificado debería ser inferior a ((1/M) x profundidad x número de puntos de datos) bits, donde la profundidad se especifica en el octeto 20, y número de puntos de datos se especifica en los octetos 6–9 de la Sección de representación de datos.",Original
75,"La norma recomendada por el CCSDS para la compresión de datos sin pérdidas es la norma que utilizan las agencias espaciales para la compresión de los datos científicos procedentes de satélites y de otros instrumentos espaciales. La norma recomendada por el CCSDS para la compresión de datos sin pérdidas es un algoritmo de compresión predictivo muy rápido, basado en el algoritmo extendido de Rice, y utiliza los códigos de Golomb-Rice para codificar la entropía. La secuencia de predicción de errores se divide en bloques. Cada bloque se comprime mediante un algoritmo de dos etapas. En el primer paso se determina el mejor método de codificación para el bloque completo. En el segundo paso, el resultado del marcador del método de codificación seleccionado se codifica como información provisional junto con los errores de predicción. Los métodos de codificación son los siguientes:",Original
76,"La esencia del método de empaquetado complejo es subdividir un campo de valores en grupos NG que contienen valores de igual tamaño. Para ello es necesario conservar suficiente información para recuperar la longitud de los grupos al proceder a la decodificación. Las longitudes de los grupos NG que corresponden a un campo dato pueden describirse de la siguiente manera: Ln = ref + Kn x len_inc, n = 1, NG, donde ref viene dado por los octetos 38–41 y len_inc por el octeto 42. Los valores NG de K (las longitudes ajustadas de los grupos) se registran en la Sección de los datos, cada una con el número de bits que le corresponde indicado por el octeto 47. El último grupo constituye un caso especial que no es posible precisar mediante esta correlación; la longitud del último grupo se registra en los octetos 43–46.",Original
77,El exponente de 3 que indica el número de divisiones en los lados del triángulo puede recibir como valor solamente 0 o 1.,Original
78,La longitud de un grupo (L) es el número de los valores que contiene el grupo.,Original
79,La anchura de un grupo es el número de bits utilizados para cada uno de los valores que contiene el grupo.,Original
80,"Se puede calcular la resolución angular horizontal y vertical del captor (Rx y Ry), necesaria para la ecuación de la navegación, a partir de las ecuaciones siguientes: Rx = 2 x arcsin ((106)/Nr)/dx Ry = 2 x arcsin ((106)/Nr)/dy",Original
81,El centro de origen de entrada tendrá el valor del “centro de origen” del mensaje GRIB original utilizado como entrada del procesamiento posterior,Original
82,El identificador del proceso de entrada tendrá el valor del “identificador del proceso de análisis o de predicción” del mensaje GRIB original utilizado como entrada del procesamiento posterior.,Original
83,"Este modelo tiene por objeto convertir a escala los datos de punto de retícula para obtener la precisión deseada, cuando proceda, para seguidamente restar el valor de referencia del campo convertido a escala, como se hace mediante el Modelo de representación de los datos 5.0. Seguidamente, el campo de puntos de retícula resultante podrá tratarse como imagen en escala de grises y codificarse en el formato normalizado de tren de datos codificados sin pérdidas recomendado por el CCSDS. Para desempaquetar el campo de datos, el formato normalizado de tren de datos codificados sin pérdidas recomendado por el CCSDS se convierte de nuevo en imagen y se obtiene el campo original de datos de imagen, como se describe en la Regla 92.9.4, nota 4.",Original
84,La norma JPEG 2000 especifica que la profundidad de bits deberá estar comprendida entre 1 y 38 bits.,Original
85,"La lista de longitudes Ni y latitudes Nj vendrá cifrada en los octetos inmediatamente a continuación del modelo de definición de retícula en los octetos 49 a ii e ii+1 a jj, respectivamente, donde ii = 48 + 4Ni y jj = 48 + 4Ni + 4Nj.",Original
86,"El número indicado hace referencia a una retícula específica, necesaria para formular operadores diferenciales. La retícula puede consistir en un centro y un polígono circundante arbitrario. Dado que las variables de los modelos pueden ser definidas en vértices de los polígonos o en la parte central de un lado de un polígono, se obtienen varias descripciones de retícula diferentes, ya que cada una de ellas define su propio centro y polígono circundante. Cada una de esas retículas necesita su propio conjunto de valores de longitud/latitud central, así como los de longitud/latitud de los vértices del polígono de contorno. En la figura siguiente se representa un triángulo como elemento de base y un hexágono en torno a los vértices del triángulo, además de un paralelogramo en torno a los puntos centrales del lado. a) triángulos (i) (presión, temperatura,...) b) paralelogramos (l) (velocidad del viento,...) c) hexágonos (o pentágonos, respectivamente) (v) (vorticidad,...)",Original
87,El número de paralelos entre un polo y el ecuador se utiliza para establecer el espaciamiento variable (gausiano) de los paralelos; este valor deberá expresarse en todos los casos.,Original
88,"El orden de los puntos de datos debería seguir siendo el que se especifica en los banderines de modo de exploración (Tabla de banderines 3.4) del correspondiente modelo de definición de la retícula, aun cuando la norma JPEG 2000 especifique que una imagen se almacena comenzando por el ángulo superior izquierdo. Suponiendo que el programa de cifrado espere recibir los datos de imagen siguiendo el orden de barrido (de izquierda a derecha y de hilera en hilera), los usuarios deberían fijar la anchura de la imagen en Ni (o Nx) y la altura en Nj (o Ny) si el bit 3 del banderín de modo de barrido es igual a 0 (puntos adyacentes en orden i (x)) al codificar la ""imagen"". Si el bit 3 del banderín de modo de exploración es igual a 1 (puntos adyacentes en orden j (y)), podría ser conveniente fijar la anchura de imagen en Nj (o Ny), y la altura en Ni (o Nx).",Original
89,"1, 2, 4, 8 o 16: tratar como imagen en escala de grises 24: tratar como imagen en color RGB (cada componente tiene una profundidad de 8 bits) 32: tratar como imagen en color RGB con muestra alfa (cada componente tiene una profundidad de 8 bits) El orden de los puntos de datos debería permanecer como se especifica en los banderines de modo de exploración (Tabla de banderines 3.4) establecidos en el modelo de definición de la retícula apropiado, aun cuando la norma PNG especifique que una imagen se almacena comenzando por el ángulo superior izquierdo y barriendo una hilera a continuación de otra de izquierda a derecha, comenzando por la hilera superior. Al codificar la ""imagen, los usuarios deberían fijar la anchura de imagen en Ni (o Nx), y la altura en Nj (o Ny) si el bit 3 del banderín de modo de exploración es igual a 0 (puntos adyacentes en el orden i (x)). Si en los banderines de modo de exploración el bit 3 es igual a 1 (puntos adyacentes en el orden j (y)), podría ser conveniente fijar la anchura de imagen en Nj (o Ny) y la altura en Ni (o Nx).",Original
90,"La retícula está basada en un icosaedro que tiene 20 triángulos y 12 vértices. Los triángulos se combinan en nd cuadrángulos, denominados rombos (por ej., si nd = 10, dos de los triángulos del icosaedro forman un rombo, y si nd = 5, cuatro triángulos del icosaedro forman un rombo). Se emplean dos valores de reso- lución denominados n2 y n3 para describir la división de cada lado del triángulo. Cada lado del triángulo se divide en ni partes iguales (ni = 3n3 x 2n2, siendo n3 igual a 0 o bien igual a 1). En el ejemplo presentado en el adjunto I de GRIB, la numeración de los rombos vistos desde el polo en los dos hemisferios se hace en el sentido opuesto al de las manecillas del reloj. Los rombos 1 a 5 se numeran en el hemisferio norte y los rombos 6 a 10 en el hemisferio sur.",Original
91,Véase la nota 1 en el Modelo de definición de la retícula 3.50 – Coeficientes armónicos esféricos.,Original
92,"Al decidir colocar el mínimo absoluto después de los valores de datos iniciales, se reduce el tratamiento del programa informático.",Original
93,"Este modelo tiene por objeto convertir a escala los datos de punto de retícula para obtener la precisión deseada, cuando proceda, para seguidamente restar el valor de referencia del campo convertido a escala, como se hace mediante el Modelo de representación de los datos 5.0. Seguidamente, el campo de puntos de retícula resultante podrá tratarse como imagen en escala de grises, que se codifica en el formato de tren de datos codificados JPEG 2000. Para desempaquetar el campo de datos, se convierte de nuevo en imagen el tren de datos codificados en JPEG 2000 y se obtiene el campo original de los datos de imagen, como se describe en la Regla 92.9.4, nota 4).",Original
94,"Este modelo tiene por objeto convertir a escala los datos de punto de retícula para obtener la precisión deseada, cuando proceda, para seguidamente restar el valor de referencia del campo convertido a escala, como se hace mediante el Modelo de representación de los datos 5.0. seguidamente, el campo de puntos de retícula resultante podrá tratarse como imagen, y se codifica en formato PNG. Para desempaquetar el campo de datos, se convierte de nuevo en imagen el tren de datos en PNG, y el campo original se obtiene de los datos de imagen, como se describe en la Regla 92.9.4, nota 4).",Original
95,"Los tiempos de referencia y predicción se fijan sucesivamente en sus valores iniciales, añadiendo o disminuyendo el incremento, tal como se define por el octeto correspondiente al tipo de incremento de tiempo (uno de los octetos 46, 58, 70, …). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y predicción como tiempos de referencia y predicción iniciales.",Original
96,"Los tiempos de referencia y predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 48, 60, 72, ...). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y predicción como los tiempos de referencia y predicción iniciales.",Original
97,"Los tiempos de referencia y previsión son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 50, 62, 74, …). Para todos los intervalos de tiempo, a excepción del más cercano (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y previsión como los tiempos de referencia y previsión iniciales.",Original
98,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 51, 62, 73…). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y predicción iniciales.",Original
99,"Los tiempos de referencia y predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 51, 63, 75, …). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y predicción como los tiempos de referencia y predicción iniciales.",Original
100,"Las horas de referencia y de predicción se fijan sucesivamente en sus valores iniciales, añadiendo o disminuyendo el incremento, como se define por el octeto correspondiente al tipo de incremento de tiempo (por uno de los octetos 53, 65, 77, …). Para todos los intervalos, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esas horas de referencia y predicción como horas de referencia y predicción iniciales.",Original
101,"Los tiempos de referencia y predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, según el tipo de incremento de tiempo (uno de los octetos 54, 66, 78,...). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y predicción como los tiempos de referencia y predicción iniciales.",Original
102,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 56, 68, 80…). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y predicción iniciales.",Original
103,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 57, 69, 81, ...). Para todos los lapsos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente lapso se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y de predicción iniciales",Original
104,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 61, 72…). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y predicción iniciales.",Original
105,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 62, 74, ...). Para todos los lapsos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente lapso se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y de predicción iniciales.",Original
106,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 63, 65, 77…). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y predicción iniciales.",Original
107,"Los tiempos de referencia y de predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 63, 75, …). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (el último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y de predicción como los tiempos de referencia y predicción iniciales.",Original
108,"Los tiempos de referencia y previsión son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 78, 90, 112 …). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y previsión como los tiempos de referencia y previsión iniciales.",Original
109,"Los tiempos de referencia y de previsión son sucesivamente fijados en sus valores iniciales aumentando o disminuyendo el incremento, como se define por el tipo de incremento de tiempo (uno de los octetos 82, 94, 106 …). Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y previsión como los tiempos de referencia y previsión iniciales.",Original
110,"Los tiempos de referencia y predicción son sucesivamente fijados en sus valores iniciales añadiendo o disminuyendo el incremento, como se define por el tipo de incremento de tiempo. Para todos los intervalos de tiempo, a excepción del más cercano en el tiempo (último), el siguiente intervalo se procesa utilizando esos tiempos de referencia y predicción como los tiempos de referencia y predicción iniciales.",Original
111,La hora de referencia en la sección 1 y la hora de predicción determinan ambas el comienzo del intervalo.,Original
112,"La subserie desempaquetada constituye un conjunto de valores definido de la misma manera que la serie completa de los valores (de un espectro limitado a JS, KS y MS), pero al cual no se ha aplicado el dimensionamiento y el empaquetado. Los valores asociados se registran a partir del octeto 6 de la Sección 7.",Original
113,"Los coeficientes restantes se multiplican por (n2+m2)P, ajustados y empaquetados. El operador asociado con esa multiplicación se deriva del operador laplaciano.",Original
114,No se aplican los banderines de resolución (bits 3–4 de la Tabla de banderines 3.3).,Original
115,La ecuación de extracción para un coeficiente de número de ondas n es la siguiente: Y = (R + X x 2 E) x 10–D x (m2+n2)–P donde x es el valor ajustado y empaquetado asociado al coeficiente.,Original
116,Entonces la ecuación de extracción para un coeficiente de número de ondas n es la siguiente: Y = (R + X x 2E) x10–D x(n x (n+1))–P en el cual X es el valor ajustado y empaquetado asociado al coeficiente.,Original
