ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/14/46-49,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",46-49,4,Долгота центральной точки в области кластера (продолж.) (Образец определения продукции 4.14 — продолж.),,,,,Operational,PDF
grib2/4/14/50-53,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",50-53,4,Радиус области кластера,,,,,Operational,PDF
grib2/4/14/54,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",54,1,N — количество прогнозов в кластере C,,,,,Operational,PDF
grib2/4/14/55,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",55,1,Масштабный коэффициент стандартного отклонения в кластере,,,,,Operational,PDF
grib2/4/14/56-59,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",56-59,4,Масштабированная величина стандартного отклонения в кластере,,,,,Operational,PDF
grib2/4/14/60,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",60,1,Масштабный коэффициент отклонения кластера от среднего значения ансамбля,,,,,Operational,PDF
grib2/4/14/61-64,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",61-64,4,Масштабированная величина отклонения кластера от среднего значения ансамбля,,,,,Operational,PDF
grib2/4/14/65-66,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",65-66,2,Год окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/67,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",67,1,Месяц окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/68,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",68,1,День окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/69,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",69,1,Час окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/70,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",70,1,Минута окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/71,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",71,1,Секунда окончания всего временного интервала,,,,,Operational,PDF
grib2/4/14/72,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",72,1,n — количество спецификаций временного диапазона,описывающих временные интервалы,,,,Operational,PDF
grib2/4/14/73-76,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",73-76,4,Общее количество значений данных,отсутствующих в статистическом процессе,,,,Operational,PDF
grib2/4/14//1,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",,,Спецификация наиболее удаленного (или единственного) временного диапазона,за который проводится статистическая обработка,,,,Operational,PDF
grib2/4/14/77,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",77,1,Статистический процесс,используемый для расчета обработанного поля на основе поля за каждый инкремент времени в течение временного диапазона (см. кодовую таблицу 4.10),,4.10,,Operational,PDF
grib2/4/14/78,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",78,1,Тип инкремента времени между последовательными полями,используемыми в статистическом процессе (см. кодовую таблицу 4.11),,4.11,,Operational,PDF
grib2/4/14/79,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",79,1,Указатель единицы времени для временного диапазона,за который проводится статистическая обработка (см. кодовую таблицу 4.4),,4.4,,Operational,PDF
grib2/4/14/80-83,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",80-83,4,Продолжительность временного диапазона,за который проводится статистическая обработка в единицах,,,,Operational,PDF
grib2/4/14/84,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",84,1,Указатель единицы времени для инкремента между используемыми последовательными полями (см. кодовую таблицу 4.4),,,4.4,,Operational,PDF
grib2/4/14/85-88,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",85-88,4,Инкремент времени между последовательными полями в единицах,определенных в предыдущем октете (см. примечания 3 и 4),"7,108",,,Operational,PDF
grib2/4/14//2,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",,,Эти октеты включаются только,если n > 1,,,,Operational,PDF
grib2/4/14/89-110,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",89-110,22,Как в октетах 77–88,следующий наиболее удаленный шаг обработки,,,,Operational,PDF
grib2/4/14/111-nn,"Образец определения продукции 4.14 — вычисленные прогнозы, основанные на кластере",111-nn,,Дополнительные спецификации временного диапазона,включенные в соответствии с величиной n. Содержание как в октетах 77–88,,,,Operational,PDF
